,date,akoka_local_t3a,amuwo_local_t3,apapa_mains_1,apapa_mains_2,apapa_road_local_t1,apapa_road_local_t2,badia_33,causeway_1_33,causeway_2_33,flour_mills,naval_base,nrc_(akangba),nrc_(akoka),sabo_33,unilag,total_max_capacity,total_feeder_deficit,total_energy_deficit
228,2019-08-17,226.0,53.0,156.5,106.5,117.30000000000004,118.50000000000014,61.200000000000074,233.76000000000002,209.7,0.0,122.89999999999996,165.00000000000006,5.0,123.29999999999998,173.0,3114.800000000001,4986.460000000002,1871.6600000000008
229,2019-08-18,226.0,48.0,165.5,109.5,127.10000000000004,113.90000000000015,77.40000000000003,231.50000000000003,208.40000000000003,0.0,122.89999999999996,137.20000000000005,5.0,127.29999999999998,173.0,3114.800000000001,4987.500000000002,1872.7000000000007
230,2019-08-19,226.0,66.0,103.5,71.5,116.50000000000003,113.90000000000016,81.00000000000006,226.11,209.3,0.0,122.89999999999996,147.30000000000004,5.0,135.29999999999998,173.0,3114.800000000001,4912.1100000000015,1797.3100000000004
231,2019-08-20,226.0,62.0,139.5,100.5,100.00000000000001,108.00000000000014,75.10000000000002,228.30000000000004,211.90000000000003,0.0,122.89999999999996,121.70000000000005,5.0,133.29999999999998,173.0,3114.800000000001,4922.000000000002,1807.2000000000007
232,2019-08-21,226.0,54.0,158.2,109.19999999999999,111.30000000000001,98.2000000000001,77.60000000000002,168.50000000000003,272.0,0.0,122.89999999999996,151.70000000000005,5.0,125.29999999999998,173.0,3114.800000000001,4967.700000000001,1852.8999999999996
233,2019-08-22,226.0,94.0,155.5,142.5,104.2,62.000000000000114,55.200000000000045,157.38000000000005,281.2,0.0,122.89999999999996,147.9000000000001,5.0,129.29999999999998,173.0,3114.800000000001,4970.880000000001,1856.08
234,2019-08-23,226.0,48.0,133.5,131.5,111.30000000000004,111.70000000000013,51.400000000000034,226.84,206.20000000000002,0.0,122.89999999999996,164.90000000000006,5.0,117.29999999999998,173.0,3114.800000000001,4944.340000000002,1829.5400000000009
235,2019-08-24,226.0,38.0,185.5,148.5,116.90000000000003,117.20000000000013,61.80000000000004,241.40000000000003,229.1,0.0,122.89999999999996,220.60000000000005,5.0,136.29999999999998,173.0,3114.800000000001,5137.000000000002,2022.2000000000007
236,2019-08-25,226.0,58.0,175.5,139.5,116.80000000000004,114.50000000000013,87.10000000000005,230.99,247.39999999999998,0.0,122.89999999999996,327.70000000000005,5.0,134.29999999999998,173.0,3114.800000000001,5273.490000000001,2158.6899999999996
237,2019-08-26,226.0,59.0,148.5,112.5,107.00000000000001,106.00000000000011,86.90000000000006,226.20000000000002,205.99999999999997,0.0,122.89999999999996,327.70000000000005,5.0,119.29999999999998,173.0,3114.800000000001,5140.800000000001,2026.0
